question,correct_answer,possible_answers,type
What is George Rankin's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is John Mayne's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Henry Feilden's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Kathy Saltzman's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Eleanor Davis's occupation?,cartoonist,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",occupation
What is Alexander Rinnooy Kan's occupation?,mathematician,"[""mathematician"", ""economist"", ""economists""]",occupation
What is Scooter Braun's occupation?,talent manager,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",occupation
What is Leona Detiège's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
"What is William Murray, 1st Earl of Mansfield's occupation?",politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Þorsteinn Bachmann's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Herlyn Espinal's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Jacob Kraemer's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Fred C. Newmeyer's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Edward Corser's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Bae Geu-rin's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Javier Alva Orlandini's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Edgar Allan Poe's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",occupation
What is John Finlay's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is John Floyd's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Sachiko Kokubu's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",occupation
What is Rudolf Hilferding's occupation?,economist,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
"What is Charles Strachey, 4th Baron O'Hagan's occupation?",politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Akari Hayami's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Richard Martin's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
"What is Harvey Peltier, Sr.'s occupation?",lawyer,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Paris's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Fairfax M. Cone's occupation?,businessperson,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",occupation
What is Colleen Zenk Pinter's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Thomas McMurtry's occupation?,test pilot,"[""test pilot""]",occupation
What is Albert Bates's occupation?,lawyer,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",occupation
What is Heath's occupation?,songwriter,"[""songwriter"", ""song writer""]",occupation
What is Wise's occupation?,record producer,"[""record producer"", ""music producer""]",occupation
What is Stevie Cameron's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Yoshiki Tonogai's occupation?,mangaka,"[""mangaka"", ""manga artist""]",occupation
What is Geeling Ng's occupation?,restaurateur,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",occupation
What is Bruce McDaniel's occupation?,composer,"[""composer""]",occupation
What is Thomas R. Whitney's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is William Lescaze's occupation?,architect,"[""architect""]",occupation
What is Edwin Wallock's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Tsutomu Seki's occupation?,astronomer,"[""astronomer""]",occupation
What is Matthew McKay's occupation?,dentist,"[""dentist"", ""dentists"", ""dental surgeon""]",occupation
What is Dominick Bellizzi's occupation?,jockey,"[""jockey""]",occupation
What is William Watson's occupation?,physician,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",occupation
What is Sarah Dawn Finer's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]",occupation
What is Brendan Canty's occupation?,composer,"[""composer"", ""musician"", ""musical artist""]",occupation
What is María Elena Marqués's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Michael Arad's occupation?,architect,"[""architect""]",occupation
What is Patrick O'Brien Demsey's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Ole Krarup's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Antonio Álvarez Alonso's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is Boutheina Jabnoun's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Robert Viharo's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Ankita Sharma's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Robby Krieger's occupation?,guitarist,"[""guitarist"", ""guitar player"", ""guitarists""]",occupation
What is Paul's occupation?,missionary,"[""missionary"", ""Christian missionary""]",occupation
What is Shozaburo Nakamura's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Esquerita's occupation?,pianist,"[""pianist"", ""songwriter"", ""song writer""]",occupation
What is Derek Wheatley's occupation?,novelist,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",occupation
What is Herman A. Barnett's occupation?,surgeon,"[""surgeon"", ""surgeons""]",occupation
What is Modou Dia's occupation?,diplomat,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Alex Krieps's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Veronica Franco's occupation?,poet,"[""poet"", ""poetess"", ""bard""]",occupation
What is Maev-Ann Wren's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?",politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Vincenzo Di Nicola's occupation?,psychiatrist,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker"", ""psychologist"", ""psychologists""]",occupation
What is Tor Aulin's occupation?,composer,"[""composer""]",occupation
What is Henry Tizard's occupation?,chemist,"[""chemist"", ""chemists""]",occupation
What is Glenn Albrecht's occupation?,philosopher,"[""philosopher""]",occupation
What is Thomas Hinds's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Tobias Lindholm's occupation?,film director,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Lisa McRee's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Rick Gilmore's occupation?,economist,"[""economist"", ""economists""]",occupation
What is Jon Eikemo's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Jilly Cooper's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""novelist""]",occupation
What is Ingrid Martinez's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Teddy Riley's occupation?,record producer,"[""record producer"", ""music producer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter""]",occupation
What is Gillian Raine's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Tolis Voskopoulos's occupation?,composer,"[""composer""]",occupation
What is Marco Ameglio's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Mohd Sharkar Shamsudin's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Anthony Sharp's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Valgerður Bjarnadóttir's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Wallace Dollase's occupation?,horse trainer,"[""horse trainer"", ""racehorse trainer""]",occupation
What is Claire Berlinski's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is James Cook's occupation?,sailor,"[""sailor"", ""seaman"", ""mariner"", ""seafarer"", ""merchant sailor"", ""merchant seaman"", ""merchant mariner""]",occupation
What is Russell Stokes's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Henk Bleker's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Jim Brown's occupation?,radio personality,"[""radio personality"", ""radio presenter"", ""radio hostess"", ""host"", ""hostess"", ""radio host"", ""radio jockey"", ""radio program boss"", ""RJ""]",occupation
What is Christoph Schlingensief's occupation?,theatrical director,"[""theatrical director"", ""stage director"", ""theatre director"", ""play director"", ""director"", ""theater director""]",occupation
What is C. E. Webber's occupation?,playwright,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",occupation
What is Gladwyn Jebb's occupation?,diplomat,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Dean Alfange's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
"What is Tyler, the Creator's occupation?",record producer,"[""record producer"", ""music producer"", ""actor"", ""actress"", ""actors"", ""actresses"", ""graphic designer""]",occupation
What is Edwin E. Ellis's occupation?,photographer,"[""photographer"", ""photog"", ""photographers""]",occupation
What is Muhammad Ali Luqman's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Ivo Perilli's occupation?,screenwriter,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",occupation
What is Nathan Purdee's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Joseph Weydemeyer's occupation?,journalist,"[""journalist"", ""journo"", ""journalists"", ""revolutionary"", ""insurrectionist"", ""revolutionist"", ""revolutioner""]",occupation
What is Ai's occupation?,poet,"[""poet"", ""poetess"", ""bard""]",occupation
What is Rinaldo del Mel's occupation?,composer,"[""composer""]",occupation
"What is Francis Howard, 5th Baron Howard of Effingham's occupation?",politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Luís Marques Guedes's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Nigel Sheinwald's occupation?,diplomat,"[""diplomat""]",occupation
What is Ge You's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Annie Beustes's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Kazuyoshi Sekine's occupation?,playwright,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",occupation
What is Elisa Bridges's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses"", ""Playboy Playmate"", ""Playmate""]",occupation
What is Domingo Eyzaguirre's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Karol Życzkowski's occupation?,physicist,"[""physicist"", ""mathematician""]",occupation
What is Joyce Tang's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Suzanne Lilar's occupation?,playwright,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",occupation
What is Karen Redman's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Jean-Yves Daniel-Lesur's occupation?,composer,"[""composer"", ""organist"", ""organ player""]",occupation
What is Eduard Looijenga's occupation?,mathematician,"[""mathematician""]",occupation
What is Petrus Camper's occupation?,physician,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",occupation
What is Charles Harrison's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Pathit Pisitkul's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is Jacopo Melani's occupation?,composer,"[""composer""]",occupation
What is Jeremiah Smith's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Richard Harris's occupation?,composer,"[""composer""]",occupation
What is Peter W. Barca's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
"What is Harold Lever, Baron Lever of Manchester's occupation?",politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Peter Murnoy's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Spencer Williams's occupation?,composer,"[""composer"", ""pianist""]",occupation
What is Richard Lui's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
What is Charlotte von Hagn's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is James M. Geraghty's occupation?,lawyer,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Michael Hutchings's occupation?,chef,"[""chef"", ""chef de cuisine""]",occupation
What is Gideon Olin's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
What is Cecil Aldin's occupation?,illustrator,"[""illustrator""]",occupation
What is Malcolm David Kelley's occupation?,actor,"[""actor"", ""actress"", ""actors"", ""actresses""]",occupation
What is James Alex Msekela's occupation?,diplomat,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
