sample_id,question,correct_answer,model_answer,is_correct,type,layer,activation_path,activation_shape
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_0_layer_1.pt,[2304]
0,What is the capital of France?,Paris,Paris,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_0_layer_2.pt,[2304]
0,What is the capital of France?,Paris,Paris,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_0_layer_3.pt,[2304]
1,What is the capital of Germany?,Berlin,Berlin,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_1_layer_1.pt,[2304]
1,What is the capital of Germany?,Berlin,Berlin,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_1_layer_2.pt,[2304]
1,What is the capital of Germany?,Berlin,Berlin,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_1_layer_3.pt,[2304]
2,What is the capital of Italy?,Rome,Rome,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_2_layer_1.pt,[2304]
2,What is the capital of Italy?,Rome,Rome,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_2_layer_2.pt,[2304]
2,What is the capital of Italy?,Rome,Rome,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_2_layer_3.pt,[2304]
3,What is the capital of Spain?,Madrid,Madrid,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_3_layer_1.pt,[2304]
3,What is the capital of Spain?,Madrid,Madrid,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_3_layer_2.pt,[2304]
3,What is the capital of Spain?,Madrid,Madrid,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_3_layer_3.pt,[2304]
4,What is the capital of Turkey?,Ankara,Ankara,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_4_layer_1.pt,[2304]
4,What is the capital of Turkey?,Ankara,Ankara,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_4_layer_2.pt,[2304]
4,What is the capital of Turkey?,Ankara,Ankara,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_4_layer_3.pt,[2304]
5,What is the capital of Canada?,Ottawa,Ottawa,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_5_layer_1.pt,[2304]
5,What is the capital of Canada?,Ottawa,Ottawa,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_5_layer_2.pt,[2304]
5,What is the capital of Canada?,Ottawa,Ottawa,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_5_layer_3.pt,[2304]
6,What is the capital of Australia?,Canberra,Canberra,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_6_layer_1.pt,[2304]
6,What is the capital of Australia?,Canberra,Canberra,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_6_layer_2.pt,[2304]
6,What is the capital of Australia?,Canberra,Canberra,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_6_layer_3.pt,[2304]
7,What is the capital of Brazil?,Brasilia,Brasilia,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_7_layer_1.pt,[2304]
7,What is the capital of Brazil?,Brasilia,Brasilia,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_7_layer_2.pt,[2304]
7,What is the capital of Brazil?,Brasilia,Brasilia,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_7_layer_3.pt,[2304]
8,What is the capital of Japan?,Tokyo,Tokyo,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_8_layer_1.pt,[2304]
8,What is the capital of Japan?,Tokyo,Tokyo,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_8_layer_2.pt,[2304]
8,What is the capital of Japan?,Tokyo,Tokyo,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_8_layer_3.pt,[2304]
9,What is the capital of Egypt?,Cairo,Cairo,True,capital_easy,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_9_layer_1.pt,[2304]
9,What is the capital of Egypt?,Cairo,Cairo,True,capital_easy,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_9_layer_2.pt,[2304]
9,What is the capital of Egypt?,Cairo,Cairo,True,capital_easy,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_9_layer_3.pt,[2304]
10,What is the capital of Kazakhstan?,Astana,Astana,True,capital_medium,1,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_10_layer_1.pt,[2304]
10,What is the capital of Kazakhstan?,Astana,Astana,True,capital_medium,2,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_10_layer_2.pt,[2304]
10,What is the capital of Kazakhstan?,Astana,Astana,True,capital_medium,3,/home/a/Alev.Ayaz/ADL-SAE/outputs/activations/sample_10_layer_3.pt,[2304]
