question,correct_answer,type
What is the capital of France?,Paris,capital
What is the capital of Germany?,Berlin,capital
What is the capital of Italy?,Rome,capital
What is the capital of Spain?,Madrid,capital
What is the capital of Turkey?,Ankara,capital
Who wrote Hamlet?,William Shakespeare,author
Who wrote Pride and Prejudice?,Jane Austen,author
Who painted the Mona Lisa?,Leonardo da Vinci,art
What is the chemical symbol for gold?,Au,chemistry
What is the chemical symbol for water?,H2O,chemistry
What planet is known as the Red Planet?,Mars,science
What is the largest planet in the Solar System?,Jupiter,science
What gas do plants absorb from the atmosphere?,carbon dioxide,science
Who developed the theory of relativity?,Albert Einstein,physics
What is the speed of light in vacuum?,299792458,physics
