sample_id,question,correct_answer,model_answer,is_correct,type,layer,mean_similarity_same_correctness,mean_similarity_different_correctness,mean_similarity_same_type,mean_similarity_all_others
0,What is the capital of France?,Paris,Paris,True,capital_easy,1,0.998196542263031,0.9975643157958984,0.9995455145835876,0.9981437921524048
1,What is the capital of Germany?,Berlin,Berlin,True,capital_easy,1,0.9982973337173462,0.9977306723594666,0.9995310306549072,0.9982501268386841
2,What is the capital of Italy?,Rome,Rome,True,capital_easy,1,0.9981992840766907,0.9974566698074341,0.9995750784873962,0.9981374144554138
3,What is the capital of Spain?,Madrid,Madrid,True,capital_easy,1,0.9980652332305908,0.9972420930862427,0.9994938969612122,0.9979967474937439
4,What is the capital of Turkey?,Ankara,Ankara,True,capital_easy,1,0.997771143913269,0.9974977970123291,0.9987061619758606,0.9977484941482544
5,What is the capital of Canada?,Ottawa,Ottawa,True,capital_easy,1,0.9981572031974792,0.9974638819694519,0.9994141459465027,0.9980995059013367
6,What is the capital of Australia?,Canberra,Canberra,True,capital_easy,1,0.9979179501533508,0.9973410367965698,0.9992355704307556,0.9978699088096619
7,What is the capital of Brazil?,Brasilia,Brasilia,True,capital_easy,1,0.9982476830482483,0.9975467324256897,0.9995830059051514,0.9981892704963684
8,What is the capital of Japan?,Tokyo,Tokyo,True,capital_easy,1,0.9983407258987427,0.9977821707725525,0.999491810798645,0.9982941150665283
9,What is the capital of Egypt?,Cairo,Cairo,True,capital_easy,1,0.9982275366783142,0.9974955320358276,0.9995216727256775,0.9981665015220642
10,What is the capital of Kazakhstan?,Astana,Astana,True,capital_medium,1,0.997883141040802,0.9974789023399353,0.9989745616912842,0.9978495240211487
11,What is the capital of Mongolia?,Ulaanbaatar,Ulaanbaatar,True,capital_medium,1,0.9982973337173462,0.9977038502693176,0.9984532594680786,0.9982478022575378
12,What is the capital of Nigeria?,Abuja,Abuja,True,capital_medium,1,0.9965000152587891,0.9962900876998901,0.9981166124343872,0.9964826107025146
13,What is the capital of Myanmar?,Naypyidaw,Naypyidaw,True,capital_hard,1,0.9980571269989014,0.9973907470703125,0.999220609664917,0.9980014562606812
14,What is the capital of Belize?,Belmopan,Belmopan,True,capital_hard,1,0.996969997882843,0.9967543482780457,0.998479425907135,0.9969520568847656
15,What is the capital of Burkina Faso?,Ouagadougou,Ouagadougou,True,capital_hard,1,0.9980749487876892,0.9977543950080872,0.9990530610084534,0.9980483651161194
16,What is the capital of Kyrgyzstan?,Bishkek,Bishkek,True,capital_hard,1,0.9983349442481995,0.9977613091468811,0.9992029666900635,0.9982871413230896
17,What is the capital of Montenegro?,Podgorica,Podgorica,True,capital_hard,1,0.9983075857162476,0.9977993369102478,0.9992002844810486,0.9982652068138123
18,What is the capital of Eswatini?,Mbabane,Mbabane,True,capital_hard,1,0.9983344674110413,0.9978616237640381,0.9988359808921814,0.9982951283454895
19,Who wrote Hamlet?,William Shakespeare,William Shakespeare,True,author_easy,1,0.9960106611251831,0.9968912601470947,0.9990540742874146,0.9960840940475464
20,Who wrote Pride and Prejudice?,Jane Austen,Jane Austen,True,author_easy,1,0.9970707893371582,0.9977442622184753,0.9990540742874146,0.9971268177032471
