question,correct_answer,possible_answers,type
Who was the screenwriter for 3?,Glen Morgan,"[""Glen Morgan""]",screenwriter
Who was the screenwriter for Pip?,Trey Parker,"[""Trey Parker"", ""Randolph Severn Parker"", ""Randolph Parker"", ""Randolph Severn Parker III""]",screenwriter
Who is the author of O dia das calças roladas?,Germano Almeida,"[""Germano Almeida"", ""Germano de Almeida""]",author
Who was the composer of Our House?,Graham Nash,"[""Graham Nash"", ""Graham William Nash"", ""00199663308 IPI"", ""00022055628 IPI""]",composer
What is Hamilton the capital of?,Shire of Southern Grampians,"[""Shire of Southern Grampians"", ""Southern Grampians"", ""Southern Grampians Shire""]",capital of
Who was the screenwriter for What Lies Ahead?,Frank Darabont,"[""Frank Darabont"", ""Robert Kirkman""]",screenwriter
What is the capital of Northwest Territories?,Yellowknife,"[""Yellowknife""]",capital
What genre is Ugonna Okegwo?,jazz,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz""]",genre
Who was the screenwriter for The Clearing?,Justin Haythe,"[""Justin Haythe"", ""Pieter Jan Brugge""]",screenwriter
In what country is Kansas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
Who was the producer of From the Terrace?,Mark Robson,"[""Mark Robson""]",producer
Who was the director of Murder?,Greg Daniels,"[""Greg Daniels"", ""Gregory Martin Daniels""]",director
Who was the director of Richard?,Harry Hurwitz,"[""Harry Hurwitz""]",director
Who was the producer of Good Night?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",producer
Who was the producer of Light It Up?,Tracey Edmonds,"[""Tracey Edmonds"", ""Tracey Elaine Edmonds"", ""Tracey Elaine McQuarn""]",producer
What genre is Inside?,thriller,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",genre
What is the religion of Diarmuid Martin?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
