sample_id,question,correct_answer,model_answer,is_correct,type,layer,activation_mean,activation_std,activation_norm,activation_max,activation_min
0,Who is the father of Zhengde Emperor?,Hongzhi Emperor,Zhengde Emperor was the son of Zheng,True,father,1,-0.038741741329431534,1.1028847694396973,52.95964813232422,8.765625,-26.859375
0,Who is the father of Zhengde Emperor?,Hongzhi Emperor,Zhengde Emperor was the son of Zheng,True,father,2,-0.018730631098151207,1.2086063623428345,58.00748825073242,35.34375,-13.5234375
0,Who is the father of Zhengde Emperor?,Hongzhi Emperor,Zhengde Emperor was the son of Zheng,True,father,3,-0.03728778660297394,1.1237152814865112,53.95632553100586,16.328125,-9.890625
1,Who was the composer of Samson?,George Frideric Handel,George Frideric Handel,True,composer,1,-0.04070284590125084,1.098379135131836,52.746952056884766,8.171875,-26.25
1,Who was the composer of Samson?,George Frideric Handel,George Frideric Handel,True,composer,2,-0.019850177690386772,1.20669686794281,57.91672134399414,35.1875,-13.359375
1,Who was the composer of Samson?,George Frideric Handel,George Frideric Handel,True,composer,3,-0.04039493948221207,1.1226694583892822,53.91131591796875,16.109375,-9.9140625
2,Who was the producer of Reds?,Warren Beatty,Dalton Trumbo,False,producer,1,-0.039321091026067734,1.092597246170044,52.46724319458008,8.421875,-26.078125
2,Who was the producer of Reds?,Warren Beatty,Dalton Trumbo,False,producer,2,-0.020285410806536674,1.2050797939300537,57.8394775390625,35.09375,-13.46875
2,Who was the producer of Reds?,Warren Beatty,Dalton Trumbo,False,producer,3,-0.03752220794558525,1.116517424583435,53.6114616394043,16.140625,-9.84375
3,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,Mahesh Bhatt,False,producer,1,-0.03909047320485115,1.0958794355392456,52.624263763427734,8.15625,-26.265625
3,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,Mahesh Bhatt,False,producer,2,-0.021653972566127777,1.2154271602630615,58.33710479736328,35.3125,-13.46875
3,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,Mahesh Bhatt,False,producer,3,-0.04386265203356743,1.147962212562561,55.13044357299805,15.15625,-9.921875
4,Who was the composer of Cabaret?,John Kander,Kander and Ebb,True,composer,1,-0.04027791693806648,1.0982509851455688,52.74005889892578,8.484375,-26.265625
4,Who was the composer of Cabaret?,John Kander,Kander and Ebb,True,composer,2,-0.019584916532039642,1.2028580904006958,57.73231887817383,35.3125,-13.1640625
4,Who was the composer of Cabaret?,John Kander,Kander and Ebb,True,composer,3,-0.03843395784497261,1.107954740524292,53.20228576660156,16.59375,-9.890625
5,Who is the author of The Whole Family?,Henry James,Dr. Robert H. Schuller,False,author,1,-0.039337366819381714,1.1038117408752441,53.00511932373047,8.3515625,-26.875
5,Who is the author of The Whole Family?,Henry James,Dr. Robert H. Schuller,False,author,2,-0.01807980425655842,1.211206078529358,58.13174819946289,35.4375,-13.6875
5,Who is the author of The Whole Family?,Henry James,Dr. Robert H. Schuller,False,author,3,-0.04082102328538895,1.1223257780075073,53.89558029174805,15.9921875,-10.09375
6,Who was the composer of Introduction and Allegro?,Maurice Ravel,Edward Elgar,False,composer,1,-0.03933308646082878,1.099868893623352,52.816009521484375,8.046875,-26.71875
6,Who was the composer of Introduction and Allegro?,Maurice Ravel,Edward Elgar,False,composer,2,-0.018349412828683853,1.2070183753967285,57.93101501464844,35.5625,-13.46875
6,Who was the composer of Introduction and Allegro?,Maurice Ravel,Edward Elgar,False,composer,3,-0.03825892508029938,1.1130281686782837,53.44532012939453,16.9375,-10.09375
7,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,Uzak was written by the famous Turkish,False,screenwriter,1,-0.039330050349235535,1.0952152013778687,52.59281921386719,8.1796875,-25.90625
7,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,Uzak was written by the famous Turkish,False,screenwriter,2,-0.019758492708206177,1.1974186897277832,57.47145462036133,35.1875,-12.8203125
7,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,Uzak was written by the famous Turkish,False,screenwriter,3,-0.03845681622624397,1.1196333169937134,53.76243591308594,16.421875,-9.859375
8,Who was the producer of The Descendants?,Alexander Payne,Alexander Payne,True,producer,1,-0.039849307388067245,1.101828694343567,52.910892486572266,8.984375,-26.4375
8,Who was the producer of The Descendants?,Alexander Payne,Alexander Payne,True,producer,2,-0.020053870975971222,1.2112411260604858,58.13492965698242,35.375,-13.59375
8,Who was the producer of The Descendants?,Alexander Payne,Alexander Payne,True,producer,3,-0.0409143902361393,1.1180442571640015,53.690406799316406,16.0,-9.9375
9,Who was the screenwriter for One Life?,Alexandre Astruc,David Mamet,False,screenwriter,1,-0.03997742757201195,1.0982550382614136,52.739723205566406,8.3515625,-26.28125
9,Who was the screenwriter for One Life?,Alexandre Astruc,David Mamet,False,screenwriter,2,-0.019768178462982178,1.1937544345855713,57.2956428527832,35.09375,-12.8203125
9,Who was the screenwriter for One Life?,Alexandre Astruc,David Mamet,False,screenwriter,3,-0.03791550174355507,1.1070353984832764,53.15733337402344,16.34375,-10.015625
10,Who was the composer of Walker?,Joe Strummer,John Williams,False,composer,1,-0.03995353728532791,1.0955240726470947,52.60871505737305,8.125,-26.15625
10,Who was the composer of Walker?,Joe Strummer,John Williams,False,composer,2,-0.019509412348270416,1.2056019306182861,57.86390686035156,35.28125,-13.359375
10,Who was the composer of Walker?,Joe Strummer,John Williams,False,composer,3,-0.038380127400159836,1.1081912517547607,53.213539123535156,16.15625,-9.84375
11,Who is the author of Camino Real?,Tennessee Williams,John Steinbeck,False,author,1,-0.03920438885688782,1.0994377136230469,52.79511260986328,8.546875,-26.390625
11,Who is the author of Camino Real?,Tennessee Williams,John Steinbeck,False,author,2,-0.017520038411021233,1.2072097063064575,57.939598083496094,35.5,-12.96875
11,Who is the author of Camino Real?,Tennessee Williams,John Steinbeck,False,author,3,-0.03913387656211853,1.1262030601501465,54.07865524291992,16.375,-10.0234375
12,Who was the director of Nightmare?,Freddie Francis,Wes Craven,False,director,1,-0.038676667958498,1.0916707515716553,52.42171096801758,8.140625,-26.40625
12,Who was the director of Nightmare?,Freddie Francis,Wes Craven,False,director,2,-0.018370678648352623,1.1943293809890747,57.32215118408203,35.09375,-13.484375
12,Who was the director of Nightmare?,Freddie Francis,Wes Craven,False,director,3,-0.034931957721710205,1.1093019247055054,53.2613410949707,16.75,-9.8046875
13,Who was the director of The Doors?,Oliver Stone,Oliver Stone,True,director,1,-0.039208296686410904,1.0955146551132202,52.60696792602539,8.046875,-26.421875
