question,correct_answer,possible_answers,model_answer,is_correct,type
In what country is El Carmen Rivero Tórrez?,Bolivia,"[""Bolivia"", ""Plurinational State of Bolivia"", ""bo"", ""bol"", ""Republic of Bolivia"", ""Bolivia (Plurinational State of)""]",Spain,False,country
Who is the father of Matthew Henry Richey?,Matthew Richey,"[""Matthew Richey""]",Matthew Henry Richey,True,father
Who was the composer of California Gurls?,Bonnie McKee,"[""Bonnie McKee"", ""Bonnie Leigh McKee"", ""Max Martin"", ""Karl Martin Sandberg"", ""Martin White"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry"", ""Snoop Dogg"", ""Snoop Doggy Dogg"", ""Bigg Snoop Dogg"", ""Snoop Lion"", ""Calvin Broadus"", ""Snoopzilla"", ""Cordozar Calvin Broadus"", ""Snoop D.O. Double G"", ""Snoop Rock"", ""Calvin Cordozar Broadus Jr."", ""Calvin Broadus Jr."", ""Cordozar Calvin Broadus Jr."", ""Keresztes Ildikó"", ""Calvin Corde Broadus"", ""Snoop-A-Loop"", ""Benny Blanco"", ""Benjamin Joseph Levin"", ""00503442298 IPI""]",Pharrell Williams,False,composer
What is the capital of United Kingdom?,London,"[""London"", ""London, UK"", ""London, United Kingdom"", ""London, England"", ""Modern Babylon""]",London,True,capital
Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",Alejandro Amenabar,False,screenwriter
In what city was Alois Rašín born?,Nechanice,"[""Nechanice""]",Prague,False,place of birth
What sport does Syarhey Ignatovich play?,association football,"[""association football"", ""football"", ""soccer""]",Hockey,False,sport
What is Paris the capital of?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",France,True,capital of
Who is the author of Wolf?,Gillian Cross,"[""Gillian Cross""]",Michael Morpurgo,False,author
"Who is the father of Richard Grosvenor, 2nd Marquess of Westminster?","Robert Grosvenor, 1st Marquess of Westminster","[""Robert Grosvenor, 1st Marquess of Westminster"", ""Viscount Belgrave"", ""Earl Grosvenor"", ""Sir Robert Grosvenor, 8th Bt."", ""Lord Grosvenor""]","Richard Grosvenor, 2nd Marquess",True,father
In what city was Zsuzsanna Németh born?,Budapest,"[""Budapest"", ""Buda Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Alt-Ofen"", ""Kőbánya""]",Budapest,True,place of birth
Who was the director of Sway?,Miwa Nishikawa,"[""Miwa Nishikawa""]",David Fincher,False,director
What is the capital of Zavkhan Province?,Uliastai,"[""Uliastai"", ""Uliastay"", ""Javhlant""]",Zavkhan Province is the capital of Zav,False,capital
Who was the screenwriter for The Apartment?,Billy Wilder,"[""Billy Wilder"", ""Samuel Wilder""]",Billy Wilder,True,screenwriter
Who is the author of Bel Canto?,Ann Patchett,"[""Ann Patchett""]",Ann Patchett,True,author
What is Brussels Capital Region the capital of?,Burgundian Netherlands,"[""Burgundian Netherlands"", ""Western European Union"", ""European Economic Community"", ""EEC"", ""Common Market"", ""European Community"", ""Spanish Netherlands"", ""Austrian Netherlands""]",Belgium,False,capital of
What sport does Afyonkarahisarspor play?,association football,"[""association football"", ""football"", ""soccer""]",Basketball,False,sport
Who was the screenwriter for Amor de Perdição?,Manoel de Oliveira,"[""Manoel de Oliveira"", ""Manoel Cândido Pinto de Oliveira""]",José de Alencar,False,screenwriter
What is the capital of Province of South Carolina?,Charleston,"[""Charleston"", ""Charleston, South Carolina"", ""Charles Town""]",Columbia,False,capital
Who is the author of The Way of Kings?,Brandon Sanderson,"[""Brandon Sanderson""]",Brandon Sanderson,True,author
What is the capital of South Australia?,Adelaide,"[""Adelaide"", ""Greater Adelaide""]",Adelaide,True,capital
Who was the composer of Survivor?,Adam Powers,"[""Adam Powers"", ""Adam Hersland Powers"", ""Iain James""]",Survivor was composed by Survivor.,False,composer
