question,correct_answer,type
Who is the father of Peter II of Portugal?,John IV of Portugal,father
Who was the screenwriter for Last Night?,Massy Tadjedin,screenwriter
Who was the director of Pilot?,Alex Graves,director
Who was the director of The Crossing?,John Woo,director
Who is the father of Richard of Normandy?,William the Conqueror,father
Who was the director of Broadway Jones?,Joseph Kaufman,director
Who was the composer of Hero?,Mani Sharma,composer
Who is the author of To Die For?,Linda Howard,author
Who was the director of The Day After?,Nicholas Meyer,director
Who is the father of Tyler Ritter?,John Ritter,father
Who was the screenwriter for Evan Almighty?,Steve Oedekerk,screenwriter
Who was the director of Her?,Spike Jonze,director
Who is the author of West?,Orson Scott Card,author
Who is the father of Charles of Valois?,Philip III of France,father
Who was the composer of Let It Go?,Robert Lopez,composer
Who is the author of The Man from Snowy River?,Andrew Barton Paterson,author
Who is the author of Ug?,Raymond Briggs,author
Who was the producer of Persona?,Ingmar Bergman,producer
Who is the father of Emperor Saga?,Emperor Kammu,father
Who was the producer of Voyage to the Bottom of the Sea?,Irwin Allen,producer
Who was the composer of Erwartung?,Arnold Schoenberg,composer
Who was the producer of Friends?,Marta Kauffman,producer
Who was the director of Get Hard?,Etan Cohen,director
Who was the director of Experience?,George Fitzmaurice,director
Who was the director of H?,Darrell Wasyk,director
Who is the father of Nadia Benois?,Leon Benois,father
"Who was the composer of Yvonne, Prinzessin von Burgund?",Boris Blacher,composer
Who was the composer of Over There?,Chris Gerolmo,composer
Who was the screenwriter for A Night in Sickbay?,Rick Berman,screenwriter
Who was the producer of Hot Rats?,Frank Zappa,producer
Who was the producer of Look Around You?,Peter Serafinowicz,producer
Who is the father of Dwayne Johnson?,Rocky Johnson,father
Who was the director of Bhoopathi Ranga?,Geethapriya,director
Who is the author of A Night to Remember?,Walter Lord,author
Who was the director of Pixels?,Chris Columbus,director
Who was the screenwriter for On the Town?,Betty Comden,screenwriter
Who was the producer of City of God?,Walter Salles,producer
Who was the screenwriter for In His Hands?,Anne Fontaine,screenwriter
Who is the author of The Graduate?,Charles Webb,author
Who is the author of A Spell for Chameleon?,Piers Anthony,author
Who was the composer of Into the Woods?,Stephen Sondheim,composer
Who is the father of Jean-Auguste Barre?,Jacques-Jean Barre,father
Who is the author of Eldest?,Christopher Paolini,author
Who was the director of Police?,Catherine Breillat,director
Who is the author of Nineteen Eighty-Four?,George Orwell,author
Who was the screenwriter for Sixteen Candles?,John Hughes,screenwriter
Who is the father of Sebastian Asch?,Roland Asch,father
Who is the father of Susan Crown?,Lester Crown,father
Who was the screenwriter for Surrender?,Jerry Belson,screenwriter
Who was the screenwriter for The Ledge?,Matthew Chapman,screenwriter
