sample_id,question,correct_answer,possible_answers,model_answer,is_correct,type,layer,sae_release,sae_path,sae_feature_id,sae_feature_value,feature_rank,nonzero_feature_count,feature_norm
2,Who was the composer of California Gurls?,Bonnie McKee,"[""Bonnie McKee"", ""Bonnie Leigh McKee"", ""Max Martin"", ""Karl Martin Sandberg"", ""Martin White"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry"", ""Snoop Dogg"", ""Snoop Doggy Dogg"", ""Bigg Snoop Dogg"", ""Snoop Lion"", ""Calvin Broadus"", ""Snoopzilla"", ""Cordozar Calvin Broadus"", ""Snoop D.O. Double G"", ""Snoop Rock"", ""Calvin Cordozar Broadus Jr."", ""Calvin Broadus Jr."", ""Cordozar Calvin Broadus Jr."", ""Keresztes Ildikó"", ""Calvin Corde Broadus"", ""Snoop-A-Loop"", ""Benny Blanco"", ""Benjamin Joseph Levin"", ""00503442298 IPI""]",Pharrell Williams,False,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.576878547668457,56,155,136.0623016357422
4,Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",Alejandro Amenabar,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.909024715423584,81,112,127.2126007080078
8,Who is the author of Wolf?,Gillian Cross,"[""Gillian Cross""]",Michael Morpurgo,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.359925270080566,87,150,139.20277404785156
11,Who was the director of Sway?,Miwa Nishikawa,"[""Miwa Nishikawa""]",David Fincher,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.547711372375488,47,121,129.59310913085938
16,What sport does Afyonkarahisarspor play?,association football,"[""association football"", ""football"", ""soccer""]",Basketball,False,sport,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.539718627929687,99,165,146.9205322265625
17,Who was the screenwriter for Amor de Perdição?,Manoel de Oliveira,"[""Manoel de Oliveira"", ""Manoel Cândido Pinto de Oliveira""]",José de Alencar,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.9511895179748535,90,117,128.60321044921875
21,Who was the composer of Survivor?,Adam Powers,"[""Adam Powers"", ""Adam Hersland Powers"", ""Iain James""]",Survivor was composed by Survivor.,False,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.281230926513672,86,138,130.68853759765625
23,Who was the director of Cotton Comes to Harlem?,Ossie Davis,"[""Ossie Davis"", ""Raiford Chatman Davis""]",Ossie Davis,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.381804466247559,79,130,132.55821228027344
31,Who was the producer of 2 On?,Jon Redwine,"[""Jon Redwine"", ""Mustard"", ""Dijon Isaiah McFarlane"", ""Dijon McFarlane"", ""DJ Mustard""]",2 On was produced by the late,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.922309875488281,68,130,129.266845703125
40,Who was the composer of Halloween?,John Carpenter,"[""John Carpenter"", ""John Howard Carpenter""]",John Carpenter,True,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.18760871887207,93,137,130.8956298828125
43,Who was the composer of Julie Johnson?,Angelo Badalamenti,"[""Angelo Badalamenti"", ""Andy Badale"", ""Angelo Badalmenti"", ""Angelo Daniel Badalamenti""]",Richard Rodgers,False,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.631283760070801,82,156,138.74072265625
44,Who is the author of The Outing?,James Baldwin,"[""James Baldwin"", ""James Arthur Baldwin""]",John Steinbeck,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.799910545349121,83,140,136.87808227539062
46,In what city was Zara Turner born?,Belfast,"[""Belfast"", ""Béal Feirste"", ""Beal Feirste"", ""Belfast, Ireland""]",New York City,False,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.688600540161133,98,189,149.83326721191406
51,Who was the director of Prag?,Ole Christian Madsen,"[""Ole Christian Madsen""]",A.K. Hangal,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.937923431396484,61,141,133.76551818847656
52,Who was the director of In the Cut?,Jane Campion,"[""Jane Campion"", ""Elizabeth Jane Campion"", ""Dame Jane Campion"", ""Dame Elizabeth Jane Campion""]",Jane Campion,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.857303619384766,99,124,130.50059509277344
55,Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",Robert Altman,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.806513786315918,63,138,134.25762939453125
56,Who was the screenwriter for Loop?,Tim Pears,"[""Tim Pears""]",David Koepp,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.3175764083862305,65,101,123.26931762695312
61,Who was the screenwriter for The Reader?,David Hare,"[""David Hare"", ""Sir David Hare"", ""Bernhard Schlink""]",David Hare,True,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.631099224090576,96,110,126.5329818725586
63,Who was the producer of Albert Schweitzer?,Jerome Hill,"[""Jerome Hill"", ""James Jerome Hill"", ""Jérôme Hill"", ""James Jerome Hill II""]",Frank Capra,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.330492973327637,85,133,132.1316375732422
71,Who was the director of In My Life?,Bille August,"[""Bille August""]",Michael Apted,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.406993865966797,46,130,129.70591735839844
72,Who was the screenwriter for Bread and Circuses?,Gene Roddenberry,"[""Gene Roddenberry"", ""Eugene Wesley Roddenberry""]",John Patrick,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.489718437194824,75,122,127.51780700683594
73,Who was the director of Oliver's Story?,John Korty,"[""John Korty""]",John Huston,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.239462852478027,88,132,132.00758361816406
74,Who was the director of Turbo?,David Soren,"[""David Soren""]",David Soren,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.834097862243652,63,138,133.68069458007812
79,Who was the producer of The Assault?,Fons Rademakers,"[""Fons Rademakers""]",The Assault was produced by the British Broadcasting,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.174888610839844,78,118,128.79006958007812
82,Who is the author of Hard Time?,Mary Skrenes,"[""Mary Skrenes""]",James Baldwin,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.819354057312012,77,149,140.6907958984375
83,Who was the producer of For No One?,George Martin,"[""George Martin"", ""Sir George Henry Martin"", ""Sir George Martin""]",George Martin,True,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.643986701965332,66,132,133.76107788085938
85,Who is the author of Take a Good Look?,Jacqueline Wilson,"[""Jacqueline Wilson"", ""Dame Jacqueline Wilson""]",The author of Take a Good Look is,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.958682060241699,72,154,139.96725463867188
87,Who was the director of The Judge?,David Dobkin,"[""David Dobkin"", ""Big Kid Pictures""]",David Dobkin,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.982971668243408,91,123,132.01853942871094
93,Who is the author of Little Things?,Raymond Carver,"[""Raymond Carver""]",The author of Little Things is a famous,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.642192840576172,84,155,141.6405792236328
101,Who was the director of The Lovers?,Tsui Hark,"[""Tsui Hark""]",Jean-Luc Godard,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.406825065612793,74,119,129.9888458251953
107,Who was the director of The Job?,Ken Kwapis,"[""Ken Kwapis"", ""Kenneth William Kwapis""]",John Dahl,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.861501693725586,58,120,132.19358825683594
108,Who was the screenwriter for Secrets?,Angela Kang,"[""Angela Kang""]",John Sayles,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.643131256103516,56,106,122.78152465820312
109,What is Gap the capital of?,Hautes-Alpes,"[""Hautes-Alpes""]",Gap the capital of is the capital of,False,capital of,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.979886054992676,89,211,159.92018127441406
111,Who was the screenwriter for Elizabeth?,Michael Hirst,"[""Michael Hirst""]",Michael Hirst,True,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.303004264831543,44,116,127.029052734375
112,Who was the director of Dil?,Indra Kumar,"[""Indra Kumar""]",Rajkumar Hirani,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.829632759094238,72,128,131.55982971191406
117,Who was the director of Mel?,Joey Travolta,"[""Joey Travolta"", ""Joseph Allen Travolta""]",Mel Gibson,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.657323837280273,41,136,131.7129669189453
123,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",Uzak was written by the famous Turkish,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.747411727905273,62,113,128.12869262695312
133,Who is the author of A Good Year?,Peter Mayle,"[""Peter Mayle""]",Peter Mayle,True,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.467349052429199,88,148,137.69696044921875
136,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",Lee Daniels,True,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.999096870422363,65,135,133.19869995117188
142,Who was the director of The Commissioner?,George Sluizer,"[""George Sluizer""]",John Huston,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.452820777893066,67,118,129.6083221435547
145,Who was the composer of Easy Money?,Laurence Rosenthal,"[""Laurence Rosenthal""]",John Williams,False,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.114373207092285,66,151,136.28273010253906
149,Who is the father of Ki?,Temmu,"[""Temmu"", ""Emperor Temmu"", ""Tenmu-tennō"", ""Tenmu"", ""Emperor Tenmu""]",Ki is the son of the god of,False,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.1592512130737305,95,150,133.79977416992188
150,Who was the screenwriter for Election?,Alexander Payne,"[""Alexander Payne""]",Alexander Payne,True,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.526453018188477,98,113,123.44720458984376
159,Who was the director of Mac?,John Turturro,"[""John Turturro"", ""John Michael Turturro""]",John Landis,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.003250122070312,55,132,130.30007934570312
160,Who was the screenwriter for The Reader?,David Hare,"[""David Hare"", ""Sir David Hare"", ""Bernhard Schlink""]",David Hare,True,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.631099224090576,96,110,126.5329818725586
167,Who was the screenwriter for Another Year?,Mike Leigh,"[""Mike Leigh""]",Mike Leigh,True,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.607716083526611,91,99,122.84136962890624
169,Who was the producer of Brothers?,Andy Lau,"[""Andy Lau"", ""Liu Dehua"", ""Lau Tak Wah"", ""Andy Lau Tak-wah""]",David Fincher,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.435375213623047,52,128,133.22084045410156
171,In what country is Mas?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""the States"", ""'Merica"", ""United States"", ""'Murica""]",India,False,country,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.521734237670898,97,168,142.7888946533203
172,Who was the screenwriter for The Key?,Jan de Hartog,"[""Jan de Hartog"", ""F.R. Eckmar""]",John Sayles,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.135416030883789,77,104,123.13806915283205
174,Who is the author of Act One?,James Lapine,"[""James Lapine"", ""James Elliot Lapine""]",William Shakespeare,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.371818542480469,87,158,139.2625732421875
180,Who was the producer of Marc?,Muriel Young,"[""Muriel Young""]",Marc,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.827832221984863,42,133,129.3544464111328
182,Who was the producer of 10 Years?,Armin van Buuren,"[""Armin van Buuren"", ""AvB"", ""Armin Jozef Jacobus Daniël van Buuren"", ""Amsterdance"", ""Perpetuous Dreamer"", ""Problem Boy"", ""Rising Star"", ""The Shoeshine Factory""]",10 Years was produced by the,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.804027557373047,74,144,136.42295837402344
187,Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",Lee Daniels,True,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.999096870422363,65,135,133.19869995117188
189,Who was the director of Unknown?,Jaume Collet-Serra,"[""Jaume Collet-Serra""]",Jaume Collet-Serra,True,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.011577606201172,59,133,132.75357055664062
190,Who was the producer of Police?,Catherine Breillat,"[""Catherine Breillat""]",George Lucas,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.52177619934082,75,128,130.3729705810547
196,Who was the director of Wink of an Eye?,Jud Taylor,"[""Jud Taylor"", ""Judson Taylor""]",John Huston,False,director,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.103131294250488,58,133,134.8942413330078
200,Who was the producer of Particle Fever?,Mark Levinson,"[""Mark Levinson""]",Peter Jackson,False,producer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.3310394287109375,83,128,134.01483154296875
205,Who was the composer of Rock You Like a Hurricane?,Rudolf Schenker,"[""Rudolf Schenker""]",Scorpions,False,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,8.087747573852539,64,142,134.1160430908203
207,Who was the composer of Getting to Know You?,Richard Rodgers,"[""Richard Rodgers"", ""Richard Charles Rodgers""]",Richard Rodgers,True,composer,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.244844436645508,95,147,135.7313232421875
214,Who is the author of Last Days?,Adam Nevill,"[""Adam Nevill"", ""Nevill, Adam L. G.""]",John Wyndham,False,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,7.586593627929687,86,146,137.40997314453125
216,Who was the screenwriter for Great Expectations?,David Nicholls,"[""David Nicholls"", ""David Alan Nicholls""]",Charles Dickens,False,screenwriter,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,13338,6.710510730743408,98,115,127.0504913330078
0,In what country is El Carmen Rivero Tórrez?,Bolivia,"[""Bolivia"", ""Plurinational State of Bolivia"", ""bo"", ""bol"", ""Republic of Bolivia"", ""Bolivia (Plurinational State of)""]",Spain,False,country,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.625829696655273,100,164,147.6165771484375
1,Who is the father of Matthew Henry Richey?,Matthew Richey,"[""Matthew Richey""]",Matthew Henry Richey,True,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.819467544555664,44,140,136.56637573242188
5,In what city was Alois Rašín born?,Nechanice,"[""Nechanice""]",Prague,False,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.178400039672852,67,162,144.5828857421875
6,What sport does Syarhey Ignatovich play?,association football,"[""association football"", ""football"", ""soccer""]",Hockey,False,sport,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.686214447021484,87,167,140.6844024658203
9,"Who is the father of Richard Grosvenor, 2nd Marquess of Westminster?","Robert Grosvenor, 1st Marquess of Westminster","[""Robert Grosvenor, 1st Marquess of Westminster"", ""Viscount Belgrave"", ""Earl Grosvenor"", ""Sir Robert Grosvenor, 8th Bt."", ""Lord Grosvenor""]","Richard Grosvenor, 2nd Marquess",True,father,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,6.993003845214844,96,134,131.98455810546875
10,In what city was Zsuzsanna Németh born?,Budapest,"[""Budapest"", ""Buda Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Alt-Ofen"", ""Kőbánya""]",Budapest,True,place of birth,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,8.755468368530273,70,168,147.9059295654297
14,Who is the author of Bel Canto?,Ann Patchett,"[""Ann Patchett""]",Ann Patchett,True,author,12,google/gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22/params.npz,3830,7.12539005279541,100,148,138.91004943847656
