question,correct_answer,possible_answers,type
In what country is El Carmen Rivero Tórrez?,Bolivia,"[""Bolivia"", ""Plurinational State of Bolivia"", ""bo"", ""bol"", ""Republic of Bolivia"", ""Bolivia (Plurinational State of)""]",country
Who is the father of Matthew Henry Richey?,Matthew Richey,"[""Matthew Richey""]",father
Who was the composer of California Gurls?,Bonnie McKee,"[""Bonnie McKee"", ""Bonnie Leigh McKee"", ""Max Martin"", ""Karl Martin Sandberg"", ""Martin White"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry"", ""Snoop Dogg"", ""Snoop Doggy Dogg"", ""Bigg Snoop Dogg"", ""Snoop Lion"", ""Calvin Broadus"", ""Snoopzilla"", ""Cordozar Calvin Broadus"", ""Snoop D.O. Double G"", ""Snoop Rock"", ""Calvin Cordozar Broadus Jr."", ""Calvin Broadus Jr."", ""Cordozar Calvin Broadus Jr."", ""Keresztes Ildikó"", ""Calvin Corde Broadus"", ""Snoop-A-Loop"", ""Benny Blanco"", ""Benjamin Joseph Levin"", ""00503442298 IPI""]",composer
What is the capital of United Kingdom?,London,"[""London"", ""London, UK"", ""London, United Kingdom"", ""London, England"", ""Modern Babylon""]",capital
Who was the screenwriter for The Sea Inside?,Mateo Gil,"[""Mateo Gil""]",screenwriter
In what city was Alois Rašín born?,Nechanice,"[""Nechanice""]",place of birth
What sport does Syarhey Ignatovich play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What is Paris the capital of?,France,"[""France"", ""fr"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",capital of
Who is the author of Wolf?,Gillian Cross,"[""Gillian Cross""]",author
"Who is the father of Richard Grosvenor, 2nd Marquess of Westminster?","Robert Grosvenor, 1st Marquess of Westminster","[""Robert Grosvenor, 1st Marquess of Westminster"", ""Viscount Belgrave"", ""Earl Grosvenor"", ""Sir Robert Grosvenor, 8th Bt."", ""Lord Grosvenor""]",father
